Date,Open,High,Low,Close ,Adj Close ,Volume
"Dec 1, 2007",73.43,75.78,71.18,72.57,52.06,15871400
"Nov 1, 2007",76.11,76.11,69.84,73.47,52.7,16797200
"Oct 1, 2007",75.75,78.25,73.9,76.96,55.2,14684800
"Sep 24, 2007",0.321 Dividend,,,,,
"Sep 1, 2007",73.05,76.39,71.45,75.6,54,18365600
"Aug 1, 2007",72.04,74.45,67.87,73.11,52.22,29641200
"Jul 1, 2007",74.75,77.36,71.9,72.05,51.46,12724800
"Jun 25, 2007",0.2855 Dividend,,,,,
"Jun 1, 2007",76.53,76.81,73.58,74.69,53.14,12072000
"May 1, 2007",73.65,76.47,73.22,76.32,54.3,8888000
"Apr 1, 2007",70.99,74.44,70.53,73.58,52.35,8566000
"Mar 26, 2007",0.3055 Dividend,,,,,
"Mar 1, 2007",68.98,71.84,68.05,70.74,50.11,10956200
"Feb 1, 2007",71.6,72.95,67.58,70.25,49.77,8715200
"Jan 1, 2007",70.57,71.55,69.32,71.41,50.59,9905800
"Dec 22, 2006",0.356 Dividend,,,,,
"Dec 1, 2006",69.72,71.14,68.89,70.11,49.42,5583000
"Nov 1, 2006",68.35,69.89,67.21,69.63,49.08,6090000
"Oct 1, 2006",65.75,68.68,65.21,68.04,47.96,6458000
"Sep 25, 2006",0.2645 Dividend,,,,,
"Sep 1, 2006",64.82,66.06,63.76,65.72,46.14,6330800
"Aug 1, 2006",62.83,64.69,62.17,64.53,45.3,6096200
"Jul 1, 2006",63.5,63.66,60.51,63.08,44.28,8673400
"Jun 26, 2006",0.2675 Dividend,,,,,
"Jun 1, 2006",63.35,64.5,60.5,63.15,44.15,13941800
"May 1, 2006",65.74,66.39,61.86,63.35,44.28,11987600
"Apr 1, 2006",64.95,65.92,63.9,65.46,45.75,5694200
"Mar 20, 2006",0.263 Dividend,,,,,
"Mar 1, 2006",64.07,65.31,63.1,64.83,45.14,6232000
"Feb 1, 2006",63.69,64.65,62.4,63.79,44.41,6185600
"Jan 1, 2006",61.85,64.2,61.43,63.65,44.31,10854400
"Dec 27, 2005",0.336 Dividend,,,,,
"Dec 1, 2005",62.32,63.32,61.55,61.67,42.7,7616800
"Nov 1, 2005",59.42,62.96,59.25,61.99,42.92,7873000
"Oct 1, 2005",60.8,60.94,57.42,59.25,41.03,6916600
"Sep 26, 2005",0.285 Dividend,,,,,
"Sep 1, 2005",60.42,61.54,59.56,60.67,41.82,6689800
"Aug 1, 2005",61.17,61.55,59.26,60.49,41.69,5136000
"Jul 1, 2005",58.7,61.44,58.25,61.15,42.14,4864400
"Jun 27, 2005",0.2015 Dividend,,,,,
"Jun 1, 2005",58.35,59.94,58.26,58.58,40.24,4811000
"May 1, 2005",56.28,58.56,55.81,58.35,40.07,5205400
"Apr 1, 2005",57.8,58.03,55.31,56.17,38.57,5283600
"Mar 24, 2005",0.219 Dividend,,,,,
"Mar 1, 2005",58.85,60.01,56.6,57.43,39.29,4844200
"Feb 1, 2005",57.55,59.13,57.53,58.75,40.2,4256800
"Jan 1, 2005",59.4,59.42,56.54,57.55,39.37,5543000
"Dec 27, 2004",0.3925 Dividend,,,,,
"Dec 1, 2004",57.63,59.49,57.29,59.03,40.12,9719600
"Nov 1, 2004",54.92,57.99,54.73,57.45,39.05,10326600
"Oct 1, 2004",54.17,55.25,52.99,54.85,37.28,8172400
"Sep 27, 2004",0.1935 Dividend,,,,,
"Sep 1, 2004",53.22,54.78,53,53.88,36.49,9163400
"Aug 1, 2004",52.75,53.46,50.95,53.18,36.01,6748600
"Jul 1, 2004",55.15,55.22,51.81,53.15,35.99,6064000
"Jun 28, 2004",0.19 Dividend,,,,,
"Jun 1, 2004",54.15,55.39,53.88,55.11,37.19,6131400
"May 1, 2004",53.83,54.44,51.83,54.2,36.58,9107000
"Apr 1, 2004",54.65,55.83,53.2,53.42,36.06,6786600
"Mar 29, 2004",0.175 Dividend,,,,,
"Mar 1, 2004",55.44,56.4,52.63,54.64,36.76,8428000
"Feb 1, 2004",54.7,56.04,54.13,55.38,37.26,4434000
"Jan 1, 2004",53.69,55.85,53.13,54.62,36.74,6910800
"Dec 22, 2003",0.221 Dividend,,,,,
"Dec 1, 2003",51.65,53.58,50.84,53.23,35.66,6266000
"Nov 1, 2003",50.9,51.49,49.88,51.4,34.43,3772800
"Oct 1, 2003",48.02,50.83,47.92,50.64,33.92,4302600
"Sep 29, 2003",0.17 Dividend,,,,,
"Sep 1, 2003",48.62,50,47.42,47.75,31.87,5331200
